player,match_date,opponent,runs,balls,wickets,overs,runs_conceded
DA Warner,2017-04-05,Royal Challengers Bangalore,14,8,0,0,0
S Dhawan,2017-04-05,Royal Challengers Bangalore,40,31,0,0,0
MC Henriques,2017-04-05,Royal Challengers Bangalore,52,37,0,0,0
Yuvraj Singh,2017-04-05,Royal Challengers Bangalore,62,27,0,0,0
DJ Hooda,2017-04-05,Royal Challengers Bangalore,16,12,0,0,0
BCJ Cutting,2017-04-05,Royal Challengers Bangalore,16,6,0,0,0
CH Gayle,2017-04-05,Sunrisers Hyderabad,32,21,0,0,0
Mandeep Singh,2017-04-05,Sunrisers Hyderabad,24,16,0,0,0
TM Head,2017-04-05,Sunrisers Hyderabad,30,22,0,0,0
KM Jadhav,2017-04-05,Sunrisers Hyderabad,31,16,0,0,0
SR Watson,2017-04-05,Sunrisers Hyderabad,22,17,0,0,0
Sachin Baby,2017-04-05,Sunrisers Hyderabad,1,3,0,0,0
STR Binny,2017-04-05,Sunrisers Hyderabad,11,10,0,0,0
S Aravind,2017-04-05,Sunrisers Hyderabad,0,2,0,0,0
YS Chahal,2017-04-05,Sunrisers Hyderabad,3,7,0,0,0
TS Mills,2017-04-05,Sunrisers Hyderabad,6,3,0,0,0
A Choudhary,2017-04-05,Sunrisers Hyderabad,6,2,0,0,0
TS Mills,2017-04-05,Sunrisers Hyderabad,0,0,1,4.0,32
A Choudhary,2017-04-05,Sunrisers Hyderabad,0,0,1,4.0,55
YS Chahal,2017-04-05,Sunrisers Hyderabad,0,0,1,4.0,22
S Aravind,2017-04-05,Sunrisers Hyderabad,0,0,0,3.0,36
SR Watson,2017-04-05,Sunrisers Hyderabad,0,0,0,3.0,41
TM Head,2017-04-05,Sunrisers Hyderabad,0,0,0,1.0,11
STR Binny,2017-04-05,Sunrisers Hyderabad,0,0,1,1.0,10
A Nehra,2017-04-05,Royal Challengers Bangalore,0,0,2,4.0,42
B Kumar,2017-04-05,Royal Challengers Bangalore,0,0,2,4.0,28
BCJ Cutting,2017-04-05,Royal Challengers Bangalore,0,0,1,3.7,35
Rashid Khan,2017-04-05,Royal Challengers Bangalore,0,0,2,4.0,36
DJ Hooda,2017-04-05,Royal Challengers Bangalore,0,0,1,1.0,7
MC Henriques,2017-04-05,Royal Challengers Bangalore,0,0,1,2.0,20
Bipul Sharma,2017-04-05,Royal Challengers Bangalore,0,0,1,1.0,4
PA Patel,2017-04-06,Rising Pune Supergiant,19,14,0,0,0
JC Buttler,2017-04-06,Rising Pune Supergiant,38,19,0,0,0
RG Sharma,2017-04-06,Rising Pune Supergiant,3,7,0,0,0
N Rana,2017-04-06,Rising Pune Supergiant,34,28,0,0,0
AT Rayudu,2017-04-06,Rising Pune Supergiant,10,12,0,0,0
KH Pandya,2017-04-06,Rising Pune Supergiant,3,5,0,0,0
KA Pollard,2017-04-06,Rising Pune Supergiant,27,17,0,0,0
HH Pandya,2017-04-06,Rising Pune Supergiant,35,15,0,0,0
TG Southee,2017-04-06,Rising Pune Supergiant,7,3,0,0,0
AM Rahane,2017-04-06,Mumbai Indians,60,34,0,0,0
MA Agarwal,2017-04-06,Mumbai Indians,6,5,0,0,0
SPD Smith,2017-04-06,Mumbai Indians,84,54,0,0,0
BA Stokes,2017-04-06,Mumbai Indians,21,14,0,0,0
MS Dhoni,2017-04-06,Mumbai Indians,12,12,0,0,0
AB Dinda,2017-04-06,Mumbai Indians,0,0,1,4.0,58
DL Chahar,2017-04-06,Mumbai Indians,0,0,0,2.0,21
BA Stokes,2017-04-06,Mumbai Indians,0,0,1,4.0,36
Imran Tahir,2017-04-06,Mumbai Indians,0,0,3,4.0,28
A Zampa,2017-04-06,Mumbai Indians,0,0,1,3.0,27
R Bhatia,2017-04-06,Mumbai Indians,0,0,2,3.0,14
TG Southee,2017-04-06,Rising Pune Supergiant,0,0,1,4.0,34
HH Pandya,2017-04-06,Rising Pune Supergiant,0,0,1,4.0,37
MJ McClenaghan,2017-04-06,Rising Pune Supergiant,0,0,1,4.0,36
JJ Bumrah,2017-04-06,Rising Pune Supergiant,0,0,0,4.0,29
KH Pandya,2017-04-06,Rising Pune Supergiant,0,0,0,2.0,21
KA Pollard,2017-04-06,Rising Pune Supergiant,0,0,0,1.8,30
JJ Roy,2017-04-07,Kolkata Knight Riders,14,12,0,0,0
BB McCullum,2017-04-07,Kolkata Knight Riders,35,24,0,0,0
SK Raina,2017-04-07,Kolkata Knight Riders,68,51,0,0,0
AJ Finch,2017-04-07,Kolkata Knight Riders,15,8,0,0,0
KD Karthik,2017-04-07,Kolkata Knight Riders,47,25,0,0,0
G Gambhir,2017-04-07,Gujarat Lions,76,48,0,0,0
CA Lynn,2017-04-07,Gujarat Lions,93,41,0,0,0
TA Boult,2017-04-07,Gujarat Lions,0,0,1,4.0,41
PP Chawla,2017-04-07,Gujarat Lions,0,0,1,4.0,33
SP Narine,2017-04-07,Gujarat Lions,0,0,0,4.0,33
CR Woakes,2017-04-07,Gujarat Lions,0,0,0,3.0,36
Kuldeep Yadav,2017-04-07,Gujarat Lions,0,0,2,4.0,25
YK Pathan,2017-04-07,Gujarat Lions,0,0,0,1.0,15
P Kumar,2017-04-07,Kolkata Knight Riders,0,0,0,2.0,13
DS Kulkarni,2017-04-07,Kolkata Knight Riders,0,0,0,2.8,42
MS Gony,2017-04-07,Kolkata Knight Riders,0,0,0,2.0,32
S Kaushik,2017-04-07,Kolkata Knight Riders,0,0,0,4.0,44
DR Smith,2017-04-07,Kolkata Knight Riders,0,0,0,1.0,23
SB Jakati,2017-04-07,Kolkata Knight Riders,0,0,0,3.0,30
AM Rahane,2017-04-08,Kings XI Punjab,19,15,0,0,0
MA Agarwal,2017-04-08,Kings XI Punjab,0,4,0,0,0
SPD Smith,2017-04-08,Kings XI Punjab,26,27,0,0,0
BA Stokes,2017-04-08,Kings XI Punjab,50,32,0,0,0
MS Dhoni,2017-04-08,Kings XI Punjab,5,11,0,0,0
MK Tiwary,2017-04-08,Kings XI Punjab,40,23,0,0,0
DT Christian,2017-04-08,Kings XI Punjab,17,8,0,0,0
HM Amla,2017-04-08,Rising Pune Supergiant,28,27,0,0,0
M Vohra,2017-04-08,Rising Pune Supergiant,14,9,0,0,0
WP Saha,2017-04-08,Rising Pune Supergiant,14,9,0,0,0
AR Patel,2017-04-08,Rising Pune Supergiant,24,22,0,0,0
GJ Maxwell,2017-04-08,Rising Pune Supergiant,44,20,0,0,0
DA Miller,2017-04-08,Rising Pune Supergiant,30,27,0,0,0
Sandeep Sharma,2017-04-08,Rising Pune Supergiant,0,0,2,4.0,33
MM Sharma,2017-04-08,Rising Pune Supergiant,0,0,0,4.0,34
AR Patel,2017-04-08,Rising Pune Supergiant,0,0,1,4.0,28
T Natarajan,2017-04-08,Rising Pune Supergiant,0,0,1,3.0,26
MP Stoinis,2017-04-08,Rising Pune Supergiant,0,0,1,3.0,28
Swapnil Singh,2017-04-08,Rising Pune Supergiant,0,0,1,2.0,14
AB Dinda,2017-04-08,Kings XI Punjab,0,0,1,3.0,26
DT Christian,2017-04-08,Kings XI Punjab,0,0,0,2.0,24
BA Stokes,2017-04-08,Kings XI Punjab,0,0,0,4.0,32
Imran Tahir,2017-04-08,Kings XI Punjab,0,0,2,4.0,29
RD Chahar,2017-04-08,Kings XI Punjab,0,0,1,4.0,33
R Bhatia,2017-04-08,Kings XI Punjab,0,0,0,2.0,20
CH Gayle,2017-04-08,Delhi Daredevils,6,8,0,0,0
SR Watson,2017-04-08,Delhi Daredevils,24,24,0,0,0
Mandeep Singh,2017-04-08,Delhi Daredevils,12,10,0,0,0
KM Jadhav,2017-04-08,Delhi Daredevils,69,37,0,0,0
STR Binny,2017-04-08,Delhi Daredevils,16,18,0,0,0
Vishnu Vinod,2017-04-08,Delhi Daredevils,9,5,0,0,0
Iqbal Abdulla,2017-04-08,Delhi Daredevils,5,7,0,0,0
P Negi,2017-04-08,Delhi Daredevils,10,8,0,0,0
TS Mills,2017-04-08,Delhi Daredevils,0,3,0,0,0
AP Tare,2017-04-08,Royal Challengers Bangalore,18,17,0,0,0
SW Billings,2017-04-08,Royal Challengers Bangalore,25,19,0,0,0
KK Nair,2017-04-08,Royal Challengers Bangalore,4,3,0,0,0
SV Samson,2017-04-08,Royal Challengers Bangalore,13,12,0,0,0
RR Pant,2017-04-08,Royal Challengers Bangalore,57,36,0,0,0
CH Morris,2017-04-08,Royal Challengers Bangalore,4,5,0,0,0
CR Brathwaite,2017-04-08,Royal Challengers Bangalore,1,5,0,0,0
PJ Cummins,2017-04-08,Royal Challengers Bangalore,6,6,0,0,0
A Mishra,2017-04-08,Royal Challengers Bangalore,8,14,0,0,0
S Nadeem,2017-04-08,Royal Challengers Bangalore,0,2,0,0,0
Z Khan,2017-04-08,Royal Challengers Bangalore,1,1,0,0,0
Z Khan,2017-04-08,Royal Challengers Bangalore,0,0,3,4.0,31
CH Morris,2017-04-08,Royal Challengers Bangalore,0,0,3,4.0,22
PJ Cummins,2017-04-08,Royal Challengers Bangalore,0,0,1,4.0,30
S Nadeem,2017-04-08,Royal Challengers Bangalore,0,0,1,4.0,13
A Mishra,2017-04-08,Royal Challengers Bangalore,0,0,0,2.0,32
CR Brathwaite,2017-04-08,Royal Challengers Bangalore,0,0,0,2.0,29
B Stanlake,2017-04-08,Delhi Daredevils,0,0,2,4.0,29
YS Chahal,2017-04-08,Delhi Daredevils,0,0,1,4.0,20
Iqbal Abdulla,2017-04-08,Delhi Daredevils,0,0,2,3.0,36
TS Mills,2017-04-08,Delhi Daredevils,0,0,1,4.0,33
SR Watson,2017-04-08,Delhi Daredevils,0,0,1,4.0,21
P Negi,2017-04-08,Delhi Daredevils,0,0,2,1.0,3
JJ Roy,2017-04-09,Sunrisers Hyderabad,31,21,0,0,0
BB McCullum,2017-04-09,Sunrisers Hyderabad,5,10,0,0,0
SK Raina,2017-04-09,Sunrisers Hyderabad,5,8,0,0,0
AJ Finch,2017-04-09,Sunrisers Hyderabad,3,5,0,0,0
KD Karthik,2017-04-09,Sunrisers Hyderabad,30,32,0,0,0
DR Smith,2017-04-09,Sunrisers Hyderabad,37,27,0,0,0
DS Kulkarni,2017-04-09,Sunrisers Hyderabad,1,2,0,0,0
P Kumar,2017-04-09,Sunrisers Hyderabad,7,7,0,0,0
Basil Thampi,2017-04-09,Sunrisers Hyderabad,13,8,0,0,0
DA Warner,2017-04-09,Gujarat Lions,76,45,0,0,0
S Dhawan,2017-04-09,Gujarat Lions,9,9,0,0,0
MC Henriques,2017-04-09,Gujarat Lions,52,39,0,0,0
Bipul Sharma,2017-04-09,Gujarat Lions,0,0,0,4.0,24
B Kumar,2017-04-09,Gujarat Lions,0,0,2,4.0,23
A Nehra,2017-04-09,Gujarat Lions,0,0,2,4.0,28
Rashid Khan,2017-04-09,Gujarat Lions,0,0,3,4.0,19
BCJ Cutting,2017-04-09,Gujarat Lions,0,0,0,3.0,29
MC Henriques,2017-04-09,Gujarat Lions,0,0,0,1.0,12
SK Raina,2017-04-09,Sunrisers Hyderabad,0,0,0,2.0,24
P Kumar,2017-04-09,Sunrisers Hyderabad,0,0,1,2.0,16
Tejas Baroka,2017-04-09,Sunrisers Hyderabad,0,0,0,3.5,33
DS Kulkarni,2017-04-09,Sunrisers Hyderabad,0,0,0,2.0,17
S Kaushik,2017-04-09,Sunrisers Hyderabad,0,0,0,4.0,29
Basil Thampi,2017-04-09,Sunrisers Hyderabad,0,0,0,2.0,21
G Gambhir,2017-04-09,Mumbai Indians,19,13,0,0,0
CA Lynn,2017-04-09,Mumbai Indians,32,24,0,0,0
RV Uthappa,2017-04-09,Mumbai Indians,4,3,0,0,0
MK Pandey,2017-04-09,Mumbai Indians,81,47,0,0,0
YK Pathan,2017-04-09,Mumbai Indians,6,11,0,0,0
SA Yadav,2017-04-09,Mumbai Indians,17,15,0,0,0
CR Woakes,2017-04-09,Mumbai Indians,9,8,0,0,0
SP Narine,2017-04-09,Mumbai Indians,1,2,0,0,0
PA Patel,2017-04-09,Kolkata Knight Riders,30,27,0,0,0
JC Buttler,2017-04-09,Kolkata Knight Riders,28,22,0,0,0
N Rana,2017-04-09,Kolkata Knight Riders,50,29,0,0,0
RG Sharma,2017-04-09,Kolkata Knight Riders,2,6,0,0,0
KH Pandya,2017-04-09,Kolkata Knight Riders,11,6,0,0,0
KA Pollard,2017-04-09,Kolkata Knight Riders,17,17,0,0,0
HH Pandya,2017-04-09,Kolkata Knight Riders,29,11,0,0,0
Harbhajan Singh,2017-04-09,Kolkata Knight Riders,1,1,0,0,0
SL Malinga,2017-04-09,Kolkata Knight Riders,0,0,2,4.0,36
MJ McClenaghan,2017-04-09,Kolkata Knight Riders,0,0,1,4.0,52
JJ Bumrah,2017-04-09,Kolkata Knight Riders,0,0,1,4.0,39
KH Pandya,2017-04-09,Kolkata Knight Riders,0,0,3,4.0,24
Harbhajan Singh,2017-04-09,Kolkata Knight Riders,0,0,0,4.0,27
TA Boult,2017-04-09,Mumbai Indians,0,0,0,3.8,50
CR Woakes,2017-04-09,Mumbai Indians,0,0,1,4.0,36
SP Narine,2017-04-09,Mumbai Indians,0,0,1,4.0,22
Kuldeep Yadav,2017-04-09,Mumbai Indians,0,0,1,4.0,35
AS Rajpoot,2017-04-09,Mumbai Indians,0,0,3,4.0,37
SR Watson,2017-04-10,Kings XI Punjab,1,4,0,0,0
Vishnu Vinod,2017-04-10,Kings XI Punjab,7,12,0,0,0
AB de Villiers,2017-04-10,Kings XI Punjab,89,46,0,0,0
KM Jadhav,2017-04-10,Kings XI Punjab,1,4,0,0,0
Mandeep Singh,2017-04-10,Kings XI Punjab,28,34,0,0,0
STR Binny,2017-04-10,Kings XI Punjab,18,20,0,0,0
M Vohra,2017-04-10,Royal Challengers Bangalore,34,21,0,0,0
HM Amla,2017-04-10,Royal Challengers Bangalore,58,38,0,0,0
AR Patel,2017-04-10,Royal Challengers Bangalore,9,6,0,0,0
GJ Maxwell,2017-04-10,Royal Challengers Bangalore,43,22,0,0,0
AR Patel,2017-04-10,Royal Challengers Bangalore,0,0,1,4.0,12
Sandeep Sharma,2017-04-10,Royal Challengers Bangalore,0,0,1,4.0,26
MM Sharma,2017-04-10,Royal Challengers Bangalore,0,0,0,4.0,47
VR Aaron,2017-04-10,Royal Challengers Bangalore,0,0,2,4.0,22
T Natarajan,2017-04-10,Royal Challengers Bangalore,0,0,0,1.0,13
MP Stoinis,2017-04-10,Royal Challengers Bangalore,0,0,0,3.0,28
B Stanlake,2017-04-10,Kings XI Punjab,0,0,0,4.0,41
Iqbal Abdulla,2017-04-10,Kings XI Punjab,0,0,0,2.0,19
SR Watson,2017-04-10,Kings XI Punjab,0,0,0,2.0,29
TS Mills,2017-04-10,Kings XI Punjab,0,0,1,2.0,24
YS Chahal,2017-04-10,Kings XI Punjab,0,0,1,3.5,29
P Negi,2017-04-10,Kings XI Punjab,0,0,0,1.0,8
AP Tare,2017-04-11,Rising Pune Supergiant,0,5,0,0,0
SW Billings,2017-04-11,Rising Pune Supergiant,24,17,0,0,0
SV Samson,2017-04-11,Rising Pune Supergiant,102,63,0,0,0
RR Pant,2017-04-11,Rising Pune Supergiant,31,22,0,0,0
CJ Anderson,2017-04-11,Rising Pune Supergiant,2,4,0,0,0
CH Morris,2017-04-11,Rising Pune Supergiant,38,9,0,0,0
AM Rahane,2017-04-11,Delhi Daredevils,10,9,0,0,0
MA Agarwal,2017-04-11,Delhi Daredevils,20,18,0,0,0
F du Plessis,2017-04-11,Delhi Daredevils,8,7,0,0,0
RA Tripathi,2017-04-11,Delhi Daredevils,10,5,0,0,0
BA Stokes,2017-04-11,Delhi Daredevils,2,5,0,0,0
MS Dhoni,2017-04-11,Delhi Daredevils,11,14,0,0,0
R Bhatia,2017-04-11,Delhi Daredevils,16,17,0,0,0
DL Chahar,2017-04-11,Delhi Daredevils,14,6,0,0,0
A Zampa,2017-04-11,Delhi Daredevils,5,7,0,0,0
AB Dinda,2017-04-11,Delhi Daredevils,7,7,0,0,0
Imran Tahir,2017-04-11,Delhi Daredevils,0,2,0,0,0
AB Dinda,2017-04-11,Delhi Daredevils,0,0,0,3.0,37
DL Chahar,2017-04-11,Delhi Daredevils,0,0,1,3.0,36
BA Stokes,2017-04-11,Delhi Daredevils,0,0,1,4.0,41
Imran Tahir,2017-04-11,Delhi Daredevils,0,0,1,4.0,25
A Zampa,2017-04-11,Delhi Daredevils,0,0,1,4.0,45
R Bhatia,2017-04-11,Delhi Daredevils,0,0,0,2.0,21
S Nadeem,2017-04-11,Rising Pune Supergiant,0,0,1,4.0,23
PJ Cummins,2017-04-11,Rising Pune Supergiant,0,0,2,3.2,25
Z Khan,2017-04-11,Rising Pune Supergiant,0,0,3,3.0,20
CH Morris,2017-04-11,Rising Pune Supergiant,0,0,1,2.0,19
CJ Anderson,2017-04-11,Rising Pune Supergiant,0,0,0,1.0,10
A Mishra,2017-04-11,Rising Pune Supergiant,0,0,3,3.0,11
S Dhawan,2017-04-12,Mumbai Indians,48,43,0,0,0
DA Warner,2017-04-12,Mumbai Indians,49,34,0,0,0
DJ Hooda,2017-04-12,Mumbai Indians,9,9,0,0,0
Yuvraj Singh,2017-04-12,Mumbai Indians,5,7,0,0,0
BCJ Cutting,2017-04-12,Mumbai Indians,20,10,0,0,0
NV Ojha,2017-04-12,Mumbai Indians,9,9,0,0,0
V Shankar,2017-04-12,Mumbai Indians,1,2,0,0,0
Rashid Khan,2017-04-12,Mumbai Indians,2,4,0,0,0
B Kumar,2017-04-12,Mumbai Indians,4,3,0,0,0
PA Patel,2017-04-12,Sunrisers Hyderabad,39,24,0,0,0
JC Buttler,2017-04-12,Sunrisers Hyderabad,14,11,0,0,0
RG Sharma,2017-04-12,Sunrisers Hyderabad,4,4,0,0,0
N Rana,2017-04-12,Sunrisers Hyderabad,45,36,0,0,0
KA Pollard,2017-04-12,Sunrisers Hyderabad,11,11,0,0,0
KH Pandya,2017-04-12,Sunrisers Hyderabad,37,20,0,0,0
HH Pandya,2017-04-12,Sunrisers Hyderabad,2,3,0,0,0
Harbhajan Singh,2017-04-12,Sunrisers Hyderabad,3,3,0,0,0
Harbhajan Singh,2017-04-12,Sunrisers Hyderabad,0,0,2,4.0,24
SL Malinga,2017-04-12,Sunrisers Hyderabad,0,0,1,4.0,32
JJ Bumrah,2017-04-12,Sunrisers Hyderabad,0,0,3,4.0,24
MJ McClenaghan,2017-04-12,Sunrisers Hyderabad,0,0,1,4.0,42
HH Pandya,2017-04-12,Sunrisers Hyderabad,0,0,1,3.0,24
KH Pandya,2017-04-12,Sunrisers Hyderabad,0,0,0,1.0,12
B Kumar,2017-04-12,Mumbai Indians,0,0,3,4.0,23
A Nehra,2017-04-12,Mumbai Indians,0,0,1,4.0,46
Rashid Khan,2017-04-12,Mumbai Indians,0,0,1,4.0,20
Mustafizur Rahman,2017-04-12,Mumbai Indians,0,0,0,2.7,34
DJ Hooda,2017-04-12,Mumbai Indians,0,0,1,2.0,18
BCJ Cutting,2017-04-12,Mumbai Indians,0,0,0,2.0,18
HM Amla,2017-04-13,Kolkata Knight Riders,25,27,0,0,0
M Vohra,2017-04-13,Kolkata Knight Riders,28,19,0,0,0
MP Stoinis,2017-04-13,Kolkata Knight Riders,9,12,0,0,0
GJ Maxwell,2017-04-13,Kolkata Knight Riders,25,14,0,0,0
DA Miller,2017-04-13,Kolkata Knight Riders,28,19,0,0,0
WP Saha,2017-04-13,Kolkata Knight Riders,25,17,0,0,0
MM Sharma,2017-04-13,Kolkata Knight Riders,10,8,0,0,0
AR Patel,2017-04-13,Kolkata Knight Riders,0,1,0,0,0
VR Aaron,2017-04-13,Kolkata Knight Riders,4,5,0,0,0
SP Narine,2017-04-13,Kings XI Punjab,37,18,0,0,0
G Gambhir,2017-04-13,Kings XI Punjab,72,49,0,0,0
RV Uthappa,2017-04-13,Kings XI Punjab,26,16,0,0,0
MK Pandey,2017-04-13,Kings XI Punjab,25,16,0,0,0
TA Boult,2017-04-13,Kings XI Punjab,0,0,0,4.0,36
UT Yadav,2017-04-13,Kings XI Punjab,0,0,4,4.0,33
CR Woakes,2017-04-13,Kings XI Punjab,0,0,2,3.0,30
SP Narine,2017-04-13,Kings XI Punjab,0,0,1,4.0,19
PP Chawla,2017-04-13,Kings XI Punjab,0,0,1,3.0,36
C de Grandhomme,2017-04-13,Kings XI Punjab,0,0,1,2.0,16
Sandeep Sharma,2017-04-13,Kolkata Knight Riders,0,0,0,3.0,28
I Sharma,2017-04-13,Kolkata Knight Riders,0,0,0,2.0,21
GJ Maxwell,2017-04-13,Kolkata Knight Riders,0,0,0,1.0,18
VR Aaron,2017-04-13,Kolkata Knight Riders,0,0,1,2.0,23
MM Sharma,2017-04-13,Kolkata Knight Riders,0,0,0,3.0,30
AR Patel,2017-04-13,Kolkata Knight Riders,0,0,1,4.0,36
MP Stoinis,2017-04-13,Kolkata Knight Riders,0,0,0,1.5,15
CH Gayle,2017-04-14,Mumbai Indians,22,27,0,0,0
V Kohli,2017-04-14,Mumbai Indians,62,47,0,0,0
AB de Villiers,2017-04-14,Mumbai Indians,19,21,0,0,0
KM Jadhav,2017-04-14,Mumbai Indians,9,8,0,0,0
P Negi,2017-04-14,Mumbai Indians,13,13,0,0,0
Mandeep Singh,2017-04-14,Mumbai Indians,0,1,0,0,0
STR Binny,2017-04-14,Mumbai Indians,6,4,0,0,0
PA Patel,2017-04-14,Royal Challengers Bangalore,3,8,0,0,0
JC Buttler,2017-04-14,Royal Challengers Bangalore,2,5,0,0,0
RG Sharma,2017-04-14,Royal Challengers Bangalore,0,2,0,0,0
MJ McClenaghan,2017-04-14,Royal Challengers Bangalore,0,1,0,0,0
KA Pollard,2017-04-14,Royal Challengers Bangalore,70,47,0,0,0
N Rana,2017-04-14,Royal Challengers Bangalore,11,16,0,0,0
KH Pandya,2017-04-14,Royal Challengers Bangalore,37,30,0,0,0
HH Pandya,2017-04-14,Royal Challengers Bangalore,9,4,0,0,0
TG Southee,2017-04-14,Royal Challengers Bangalore,0,0,0,2.0,23
Harbhajan Singh,2017-04-14,Royal Challengers Bangalore,0,0,0,4.0,25
MJ McClenaghan,2017-04-14,Royal Challengers Bangalore,0,0,2,4.0,20
JJ Bumrah,2017-04-14,Royal Challengers Bangalore,0,0,1,4.0,40
HH Pandya,2017-04-14,Royal Challengers Bangalore,0,0,1,2.0,9
KH Pandya,2017-04-14,Royal Challengers Bangalore,0,0,1,4.0,25
S Badree,2017-04-14,Mumbai Indians,0,0,4,4.0,10
STR Binny,2017-04-14,Mumbai Indians,0,0,1,2.0,14
S Aravind,2017-04-14,Mumbai Indians,0,0,0,4.0,21
TS Mills,2017-04-14,Mumbai Indians,0,0,0,3.8,37
YS Chahal,2017-04-14,Mumbai Indians,0,0,1,3.0,34
P Negi,2017-04-14,Mumbai Indians,0,0,0,2.0,29
AM Rahane,2017-04-14,Gujarat Lions,0,3,0,0,0
SPD Smith,2017-04-14,Gujarat Lions,43,28,0,0,0
RA Tripathi,2017-04-14,Gujarat Lions,33,17,0,0,0
BA Stokes,2017-04-14,Gujarat Lions,25,18,0,0,0
MK Tiwary,2017-04-14,Gujarat Lions,31,27,0,0,0
MS Dhoni,2017-04-14,Gujarat Lions,5,8,0,0,0
Ankit Sharma,2017-04-14,Gujarat Lions,25,15,0,0,0
SN Thakur,2017-04-14,Gujarat Lions,0,1,0,0,0
RD Chahar,2017-04-14,Gujarat Lions,3,2,0,0,0
LH Ferguson,2017-04-14,Gujarat Lions,1,1,0,0,0
DR Smith,2017-04-14,Rising Pune Supergiant,47,30,0,0,0
BB McCullum,2017-04-14,Rising Pune Supergiant,49,32,0,0,0
SK Raina,2017-04-14,Rising Pune Supergiant,35,22,0,0,0
KD Karthik,2017-04-14,Rising Pune Supergiant,3,5,0,0,0
AJ Finch,2017-04-14,Rising Pune Supergiant,33,19,0,0,0
P Kumar,2017-04-14,Rising Pune Supergiant,0,0,1,4.0,51
Basil Thampi,2017-04-14,Rising Pune Supergiant,0,0,0,3.0,21
SB Jakati,2017-04-14,Rising Pune Supergiant,0,0,0,2.0,22
AJ Tye,2017-04-14,Rising Pune Supergiant,0,0,5,4.0,18
RA Jadeja,2017-04-14,Rising Pune Supergiant,0,0,1,4.0,40
DR Smith,2017-04-14,Rising Pune Supergiant,0,0,1,2.0,10
SK Raina,2017-04-14,Rising Pune Supergiant,0,0,0,1.0,9
Ankit Sharma,2017-04-14,Gujarat Lions,0,0,0,1.0,16
LH Ferguson,2017-04-14,Gujarat Lions,0,0,0,4.0,45
SN Thakur,2017-04-14,Gujarat Lions,0,0,1,3.0,14
BA Stokes,2017-04-14,Gujarat Lions,0,0,0,3.0,18
Imran Tahir,2017-04-14,Gujarat Lions,0,0,1,4.0,53
RD Chahar,2017-04-14,Gujarat Lions,0,0,1,3.0,26
SP Narine,2017-04-15,Sunrisers Hyderabad,6,9,0,0,0
G Gambhir,2017-04-15,Sunrisers Hyderabad,15,16,0,0,0
RV Uthappa,2017-04-15,Sunrisers Hyderabad,68,39,0,0,0
MK Pandey,2017-04-15,Sunrisers Hyderabad,46,35,0,0,0
YK Pathan,2017-04-15,Sunrisers Hyderabad,21,15,0,0,0
SA Yadav,2017-04-15,Sunrisers Hyderabad,4,3,0,0,0
C de Grandhomme,2017-04-15,Sunrisers Hyderabad,0,2,0,0,0
CR Woakes,2017-04-15,Sunrisers Hyderabad,1,1,0,0,0
DA Warner,2017-04-15,Kolkata Knight Riders,26,30,0,0,0
S Dhawan,2017-04-15,Kolkata Knight Riders,23,22,0,0,0
MC Henriques,2017-04-15,Kolkata Knight Riders,13,10,0,0,0
Yuvraj Singh,2017-04-15,Kolkata Knight Riders,26,16,0,0,0
DJ Hooda,2017-04-15,Kolkata Knight Riders,13,7,0,0,0
BCJ Cutting,2017-04-15,Kolkata Knight Riders,15,10,0,0,0
NV Ojha,2017-04-15,Kolkata Knight Riders,11,11,0,0,0
Bipul Sharma,2017-04-15,Kolkata Knight Riders,21,14,0,0,0
B Kumar,2017-04-15,Kolkata Knight Riders,0,0,3,4.0,21
A Nehra,2017-04-15,Kolkata Knight Riders,0,0,1,4.0,35
BCJ Cutting,2017-04-15,Kolkata Knight Riders,0,0,1,4.0,41
Rashid Khan,2017-04-15,Kolkata Knight Riders,0,0,1,4.0,29
MC Henriques,2017-04-15,Kolkata Knight Riders,0,0,0,2.0,26
Bipul Sharma,2017-04-15,Kolkata Knight Riders,0,0,0,2.0,20
UT Yadav,2017-04-15,Sunrisers Hyderabad,0,0,0,3.0,29
TA Boult,2017-04-15,Sunrisers Hyderabad,0,0,1,4.0,33
SP Narine,2017-04-15,Sunrisers Hyderabad,0,0,1,4.0,18
Kuldeep Yadav,2017-04-15,Sunrisers Hyderabad,0,0,1,4.0,23
YK Pathan,2017-04-15,Sunrisers Hyderabad,0,0,1,1.0,2
CR Woakes,2017-04-15,Sunrisers Hyderabad,0,0,2,4.0,50
SV Samson,2017-04-15,Kings XI Punjab,19,18,0,0,0
SW Billings,2017-04-15,Kings XI Punjab,55,40,0,0,0
KK Nair,2017-04-15,Kings XI Punjab,0,3,0,0,0
SS Iyer,2017-04-15,Kings XI Punjab,22,17,0,0,0
RR Pant,2017-04-15,Kings XI Punjab,15,9,0,0,0
CJ Anderson,2017-04-15,Kings XI Punjab,39,22,0,0,0
CH Morris,2017-04-15,Kings XI Punjab,16,8,0,0,0
PJ Cummins,2017-04-15,Kings XI Punjab,12,6,0,0,0
M Vohra,2017-04-15,Delhi Daredevils,3,6,0,0,0
HM Amla,2017-04-15,Delhi Daredevils,19,12,0,0,0
WP Saha,2017-04-15,Delhi Daredevils,7,5,0,0,0
EJG Morgan,2017-04-15,Delhi Daredevils,22,20,0,0,0
DA Miller,2017-04-15,Delhi Daredevils,24,28,0,0,0
